country,station,location,email-href
Reunion,"Radio Arc-en-Ciel

      Radio Arc-en-ciel, radio...","Saint-Denis, Saint-Denis, Reunion",http://tunein.com/Syndication/Edit/?stationId=6356
Equatorial Guinea,"RFI 1 Afrique / RFI 2

      French","Santa Isabel, Equatorial Guinea",http://tunein.com/Syndication/Edit/?stationId=16129
Madagascar,"RFI 1 Afrique / local 2h

      French","Antsiranana, Madagascar",http://tunein.com/Syndication/Edit/?stationId=6265
Egypt,"Alhayat TV

      Urdu",,mailto:info@hayatv.tv
Morocco,"Hit Radio

      French","Casablanca, Morocco",http://tunein.com/Syndication/Edit/?stationId=110256
Benin,"Golfe FM

      We Are The Future Restez Branche","Cotonou, Benin",http://tunein.com/Syndication/Edit/?stationId=17460
Zambia,"Q-FM

      Africa's Modern Radio",,http://tunein.com/Syndication/Edit/?stationId=110024
Kenya,"Radio Waumini

      Your Online Catholic Station","Nairobi, Kenya",mailto:it@radiowaumini.org
Nigeria,"Wazobia FM 95.1 Lagos

      Ogbonge Station","Lagos, Nigeria",mailto:rcahilig@coollink.us
Zambia,"Flava FM

      The Heart & Soul of the Copperbelt",,mailto:admin@flavafm.co.zm
Mozambique,"Radio Mocambique

      Hoje e Sempre","Maputo, Mozambique",mailto:webmaster@rm.co.mz
Senegal,"Walf FM

      French",,http://tunein.com/Syndication/Edit/?stationId=47624
Cote D'ivoire,"Radio Jam

      Toujours Une Longueur d'avance!","Abidjan, Côte d'Ivoire",mailto:jamfm@aviso.ci
Kenya,"XFM Kenya

      Real Music","Machakos, Kenya",mailto:info@xfm.co.ke
Lesotho,"Thaha-Khube FM

      English","Maseru, Lesotho",http://tunein.com/Syndication/Edit/?stationId=142268
Kenya,"Sound Asia FM

      best Bollywood music",,mailto:info@soundasiafm.com
Uganda,"Radio Sapientia

      The Source of  Wisdom",,http://tunein.com/Syndication/Edit/?stationId=114921
Uganda,"XFM

      English",,http://tunein.com/Syndication/Edit/?stationId=204236
Madagascar,"RFI 1 Afrique

      French",,http://tunein.com/Syndication/Edit/?stationId=6267
Gabon,"Africa N°1

      La Radio Africaine",,mailto:africa@africa1.com
Sudan,"SRTC FM 100

      Arabic","Omdurman, Sudan",mailto:fm100@sudanradio.info
Cote D'ivoire,"Radio Espoir

      Cote D'Invoire",,http://tunein.com/Syndication/Edit/?stationId=16126
Mali,"Radio Voix des Jeunes de Kita

      French","Kita, Mali, Mali",mailto:radio@voixdesjeunes-kita.ml
Angola,"RNA R Uige

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=251459
Botswana,"R Botswana 1

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=218478
Namibia,"NBC German

      Das Deutsche...","Klein Windhoek, Namibia",mailto:gssecretary@nbc.na
Morocco,"TV Sahara

      Arabic","Rabat, Morocco",http://tunein.com/Syndication/Edit/?stationId=104670
Malawi,"MBC Radio 2

      Multilingual","Blantyre, Malawi",http://tunein.com/Syndication/Edit/?stationId=206844
Uganda,"100.2 Galaxy FM

      Real Music, Real Sound!","Kampala, Uganda",http://tunein.com/Syndication/Edit/?stationId=191194
Burkina Faso,"Radio Omega FM Ouaga

      French",,mailto:omegafm@omegabf.net
Mali,"Radio Benkan

      French",,http://tunein.com/Syndication/Edit/?stationId=189026
Uganda,"XFM

      English","Kampala, Uganda",http://tunein.com/Syndication/Edit/?stationId=204236
Tunisia,"Radio IFM

      Le Meilleur De La Musique Sur La Plus Belle Radio",,mailto:contact@ifm.tn
Comoros,"Radio Ocean Indien

      LA RADIO DE LA NOUVELLE GENERATION",,http://tunein.com/Syndication/Edit/?stationId=115234
Cameroon,"Radio Balafon

      La radio Qui Vous Ecoute !","Douala, Cameroon",mailto:contact@radiobalafon.com
Egypt,"Radio Medan El-Tahrir

      Arabic","Cairo, Egypt",mailto:info@radioeltahrir.com
Burundi,"BBC World Service Bujumbura

      BBC World Service is the...",,mailto:bbcwsafrica@bbc.co.uk
Rwanda,"Radio Maria (Rwanda)

      English","Kigali, Rwanda",mailto:radiomariarwanda@gmail.com
Rwanda,"Magic FM

      French",,mailto:skarere@rba.co.rw
Madagascar,"Radio Madagasikara hoan'i Kristy

      French","Antananarivo, Madagascar",http://tunein.com/Syndication/Edit/?stationId=200286
Gambia,"West Coast Radio

      West Coast Radio",,http://tunein.com/Syndication/Edit/?stationId=16134
Rwanda,"Magic FM

      French","Kigali, Kigali, Rwanda",mailto:skarere@rba.co.rw
Botswana,"RB2-Radio Botswana 2

      The Department Of Information And Broadcasting","Gaborone, Botswana",mailto:asesinyi@gov.bw
Tunisia,"Mines FM

      La radio qui vous écoute",,mailto:info@minesfm.com
Ghana,"ASHH

      English","Kumasi, Ghana",http://tunein.com/Syndication/Edit/?stationId=120874
Togo,"Nana FM

      French","Lomé, Togo",http://tunein.com/Syndication/Edit/?stationId=86844
Sudan,"Mango 96 FM

      Arabic","Omdurman, Sudan",mailto:Contact@mango96.com
Libya,"LJB Benghazi Radio

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=16145
South Africa,"5FM SABC

      The Power of 5FM","Bloemfontein, South Africa",http://tunein.com/Syndication/Edit/?stationId=6362
Gambia,"Gambia Radio GRTS

      English",,http://tunein.com/Syndication/Edit/?stationId=16133
Nigeria,"SplashFM

      English",,mailto:info@splashfm1055.com
Namibia,"NBC Tirelo ya Setswana

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=228897
Angola,"Radio 5

      A Victória do Desporto","Luanda, Angola",mailto:rna@rna.ao
Sierra Leone,"Believers Broadcasting Network SL

      We Are Committed In Changing Lives","Freetown, Sierra Leone",mailto:admin@bbn-sl.org
Tanzania,"Radio Maria (Tanzania)

      A Christian Voice In Your Home",,mailto:info.tan@radiomaria.org
Egypt,"Nile FM

      Cairo’s Number 1 Hit Music Station",,mailto:contactnrp@nileradioproductions.net
DR Congo,"Kin Web TV

      100% congolese music videos 24/7",,http://tunein.com/Syndication/Edit/?stationId=104690
DR Congo,"Radio Ngoma

      French",,mailto:admin@rnafizi.net
Angola,"RNA R Lobito

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=251464
Botswana,"Yarona FM

      Live The Music","Gaborone, Botswana",mailto:info@yaronafm.co.bw
Comoros,"RFI 1 Afrique

      French",,http://tunein.com/Syndication/Edit/?stationId=6242
Tanzania,"Magic FM 92.9

      believe in the power of magic","Dar es Salaam, Tanzania",mailto:elkindy24@hotmail.com
Reunion,"Radio Arc-en-Ciel

      English",,http://tunein.com/Syndication/Edit/?stationId=6348
Western Sahara,"Radio Nacional de la RASD

      Western Sahara","El Aaiún, Western Sahara",http://tunein.com/Syndication/Edit/?stationId=16105
Nigeria,"The Beat 97.9 fm

      The Heart Beat of Ibadan",,mailto:info@thebeat97.com
Malawi,"Radio Islam Malawi

      Education For Tha Nation",,mailto:info@radioislam.org.mw
Reunion,"Radio Arc-en-Ciel

      Radio Arc-en-ciel, radio...",,http://tunein.com/Syndication/Edit/?stationId=6356
Zambia,"Yar FM

      English",,http://tunein.com/Syndication/Edit/?stationId=110045
Namibia,"Energy 100 FM

      The Power Station","Klein Windhoek, Namibia",mailto:studio@energy100fm.com
Algeria,"Radio Jijel

      Jijel Fm, La radio que j'aime","Jijel, Algeria",mailto:info@radio-jijel.dz
Kenya,"Kiss 100

      Kenya's Number 1 Hit Music Station",,mailto:info@kissfm.co.ke
Rwanda,"Contact FM

      Are You In Touch",,mailto:info@contactfm.co.rw
Madagascar,"RFI 1 Afrique

      Actualité Afrique, Monde En Français Et En 19 Langues",,http://tunein.com/Syndication/Edit/?stationId=6264
Chad,"RFI 1 Afrique

      French",,http://tunein.com/Syndication/Edit/?stationId=16090
Kenya,"Jesus is Lord Radio

      The one and only endtime Radio preparing the way for the Messiah",,mailto:jesusislord.fmradio@gmail.com
Madagascar,"Radio Fahazavana

      Ho Fampandrosoana ny olona rehatra sy ny olona manontolo",,mailto:fahazavana@dts.mg
Angola,"RNA R Bie

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=251461
Cameroon,"Femmes FM

      French","Mbalmayo, Cameroon",http://tunein.com/Syndication/Edit/?stationId=7504
Madagascar,"Radio Don Bosco

      Plus Je l'écoute et Plus Je l'aime",,mailto:rdb@radiodonbosco.org
Ghana,"Hitz FM

      Means Entertainment",,mailto:info@myjoyonline.com
Cameroon,"Sky One Radio

      French",,mailto:contact@skyonecameroun.com
Ghana,"Luv FM

      Experience The Luv","Kumasi, Ghana",mailto:franklinbrobby@yahoo.co.uk
Lesotho,"Maseru 100

      English","Maseru, Lesotho",http://tunein.com/Syndication/Edit/?stationId=142264
Kenya,"Salaam FM

      Radio Salaam ilianza...",,http://tunein.com/Syndication/Edit/?stationId=143030
Kenya,"Radio Jambo

      Ongea Usikike",,mailto:info@radiojambo.co.ke
Congo,"BRN TV

      La television planetaire panafricaine de liberte d experssion et","Kinshassa, Congo",mailto:pub@bigroberto.com
Togo,"Radio Maria (Togo)

      Une Voix Chrétienne Qui T'accompagne",,mailto:director.tog@radiomaria.org
Egypt,"Radio Hits

      راديو هيتس اذاعة شبابية...",,mailto:contact@radiohits.co
South Africa,"Lotus FM

      Share the Experience","Johannesburg, South Africa",mailto:info@lotusfm.co.za
Reunion,"HITFM Reunion

      New Generation !",,mailto:hitfm@live.fr
Ethiopia,"Radio Ethiopia - National Service

      External Service And Internal Service","Metu, Ethiopia",mailto:radioethiopia@usa.net
Tanzania,"TBC FM

      Swahili","Dar es Salaam, Tanzania",http://tunein.com/Syndication/Edit/?stationId=6420
Egypt,"Radio Vision Egypt

      The First Egyptian Live Audio Blog!","Cairo, Egypt",mailto:radiovisioneg@hotmail.com
Kenya,"East FM

      Kenya's Premier Asian Mix","Nairobi, Nairobi, Kenya",mailto:info@eastfm.com
Rwanda,"Radio Maria

      English",,mailto:radiomariarwanda@gmail.com
Cote D'ivoire,"RFI 1 Afrique

      French",,http://tunein.com/Syndication/Edit/?stationId=16128
Morocco,"Hit Radio

      French",,http://tunein.com/Syndication/Edit/?stationId=110256
Kenya,"Radio Waumini

      Your Online Catholic Station",,mailto:it@radiowaumini.org
Nigeria,"102.7 NAIJA FM

      Naija Fm102.7 na the...","Lagos, Nigeria",mailto:info@naija102.com
Namibia,"Base FM

      Your Home Station","Windhoek, Namibia",mailto:manager@basefm.com.na
Sierra Leone,"RADIOKRIO

      English","Waterloo, Sierra Leone",mailto:MAFERECAMARA@YAHOO.COM
Egypt,"FM نغم

      English",,http://tunein.com/Syndication/Edit/?stationId=212844
South Africa,"Lesedi FM

      Multilingual",,mailto:mothibipm@sabc.co.za
Cote D'ivoire,"Radio Al Bayane

      La voix de l'Islam éternel pour l'éternité",,mailto:contact@radio-albayane.info
DR Congo,"Congo Planete TV 2

      French",,mailto:info@congoplanet.com
Sudan,"Radio Megamind

      listen to last news and...",,mailto:info@fm12.net
Sudan,"Capital Radio

      The Best Radio Station in Sudan and Africa.",,mailto:info@capitalradiosudan.com
Mozambique,"Radio Mocambique

      Hoje e Sempre",,mailto:webmaster@rm.co.mz
Algeria,"Radio Tlemcen

      Radio locale de la ville...",,http://tunein.com/Syndication/Edit/?stationId=16039
Lesotho,"MoAfrika FM

      English","Maseru, Lesotho",http://tunein.com/Syndication/Edit/?stationId=142265
Morocco,"Al Watania

      Arabic","Rabat, Morocco",http://tunein.com/Syndication/Edit/?stationId=129393
Mauritius,"MBC Music FM

      English",,mailto:customercare@mbc.intnet.mu
Nigeria,"Royal FM 95.1 Ilorin

      we set the pace...","Ilorin, Nigeria",mailto:radio951@royalfm.net
Ethiopia,"Sheger 102.1 FM

      It's about you!",,mailto:info@shegerfm.com
Kenya,"Biblia Husema Broadcasting

      Faith Comes By Hearing, And Hearing By The Word of God. Romans 1","Nairobi, Kenya",mailto:http://bibliahusema.org/team/
Cote D'ivoire,"RFI 1 Afrique

      Radio France Internationale, actualite Afrique et Monde en frran","Abidjan, Abidjan, Côte d'Ivoire",http://tunein.com/Syndication/Edit/?stationId=16125
Senegal,"Rail Bi FM 101.3

      La radio qui controle la banlieue dakaroise","Dakar, Senegal",mailto:railbifm@gmail.com
Senegal,"RTS Kolda FM

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=238792
Cameroon,"Nostalgie Cameroun

      ça surprend au début...et après aussi !","Douala, Cameroon",mailto:info@nostalgie.cm
Gambia,"Paradise FM

      Absolutely # 1",,mailto:psdrammtg.edu.gmeh@u
Gabon,"RFI 1 Afrique

      French","Franceville, Gabon",http://tunein.com/Syndication/Edit/?stationId=16130
Algeria,"Radio Oran

      Pour que vous ne soyez plus seuls","Oran, Regionale de l'Ouest, Algeria",mailto:info@radio-oran.com
Mali,"Radio Guintan

      La Voix des Femmes",,http://tunein.com/Syndication/Edit/?stationId=45240
Libya,"LJB Holy Koran

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=16151
Lesotho,"Joy Radio

      English","Maseru, Lesotho",http://tunein.com/Syndication/Edit/?stationId=142261
Somalia,"Horn Afrik FM

      Warbaahinta Qarniga Cusub","Mogadishu, Somalia",http://tunein.com/Syndication/Edit/?stationId=47629
Ethiopia,"ETV

      Multilingual",,mailto:gd@erta.gov.et
Tanzania,"TBC Taifa

      Swahili","Dar es Salaam, Tanzania",http://tunein.com/Syndication/Edit/?stationId=201112
Rwanda,"ISANGO STAR

      English","Kigali, Rwanda",mailto:info@isangostar.rw
Mali,"Radio DOUNIA

      French",,http://tunein.com/Syndication/Edit/?stationId=189023
Zimbabwe,"Star Fm

      English",,http://tunein.com/Syndication/Edit/?stationId=182260
Senegal,"Radio Futurs Medias

      Actualités au Sénégal et dans le monde",,mailto:info@futursmedias.net
Algeria,"Alger Ch 3

      La Radio Algérienne","Tipaza, Algeria",http://tunein.com/Syndication/Edit/?stationId=25411
Mali,"Radio Bamakan

      Radio Bamakan FM 100.3","Bamako, Bamako, Mali",http://tunein.com/Syndication/Edit/?stationId=16076
Mozambique,"SFM - SOICO FM

      O som que te toca",,mailto:sfm@soico.co.mz
Sudan,"BBC World Service Khartoum

      BBC World Service is the...","Khartoum, Sudan",mailto:worldservice@bbc.co.uk
Nigeria,"The Beat

      The Heart Beat of Lagos","Lagos, Nigeria",mailto:enquiries@thebeat99.com
Kenya,"Kass FM

      English",,mailto:info@kassfm.co.ke
Ghana,"GHRadio1

      real music power","Kumasi, Ghana",mailto:contact@ghradio1.com
Morocco,"Luxe Radio

      Accédez à l'état d'esprit du luxe",,mailto:info@luxeradio.ma
Senegal,"Bambilorfm

      French",,http://tunein.com/Syndication/Edit/?stationId=140804
Namibia,"NBC National Radio

      Multilingual","Klein Windhoek, Namibia",http://tunein.com/Syndication/Edit/?stationId=119463
South Africa,"CliffCentral

      uncensored unscripted...","Johannesburg, South Africa",mailto:contact@cliffcentral.com
Libya,"Shabab Libya FM

      English",,mailto:info@101LY.com
Namibia,"Radio 99

      Urban Sounds, Global Minds",,mailto:99fm@99fm.com.na
Burkina Faso,"Radio Vive Le Paysan

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=16119
DR Congo,"Réveil FM

      La radio qui vous écoute","Kinshasa, DR Congo",http://tunein.com/Syndication/Edit/?stationId=8385
Cape Verde,"RFI 1 Afrique / RFI 2

      French",,http://tunein.com/Syndication/Edit/?stationId=16085
Ethiopia,"ETV

      Multilingual","Addis Abeba, Ethiopia",mailto:gd@erta.gov.et
Zimbabwe,"ZiFM Stereo

      My Station Your Station",,mailto:info@zifmstereo.co.zw
Comoros,"Radio Dziyalandze

      Multilingual","Ndzouani, Comoros",http://tunein.com/Syndication/Edit/?stationId=65690
Algeria,"Radio Tlemcen

      Radio locale de la ville...","Tlemcen, Algeria",http://tunein.com/Syndication/Edit/?stationId=16039
Ethiopia,"Radio Ethiopia - External Service

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=16100
Togo,"RFI 1 Afrique

      French","Lomé, Lome, Togo",http://tunein.com/Syndication/Edit/?stationId=6223
Tunisia,"OXYGENE FM

      French",,http://tunein.com/Syndication/Edit/?stationId=154568
Ethiopia,"Afro FM

      Your Infotainment Station",,mailto:info@afro105fm.com
Zimbabwe,"Spot FM ZBC

      Shona","Harare, Harare, Zimbabwe",http://tunein.com/Syndication/Edit/?stationId=6450
Madagascar,"RFI 1 Afrique

      Actualité Afrique, Monde En Français Et En 19 Langues","Fianarantsoa, Madagascar",http://tunein.com/Syndication/Edit/?stationId=6264
Burkina Faso,"Radio Municipale de Ouagadougou

      French","Ouagadougou, Burkina Faso",http://tunein.com/Syndication/Edit/?stationId=111826
Zambia,"ZNBC Radio 4

      Sound Vision For The Future",,mailto:hyde.haguta@znbc.co.zm
Tanzania,"Clouds FM

      The People's Station","Dar es Salaam, Tanzania",mailto:info@cloudsfm.co
Namibia,"NBC Rukavango

      Namibian Broadcasting...","Klein Windhoek, Namibia",mailto:fzinner@nbc.na
Zimbabwe,"ZiFM Stereo

      My Station Your Station","Harare, Zimbabwe",mailto:info@zifmstereo.co.zw
Sudan,"Capital FM Juba

      The Voice of South Sudan","Juba, Sudan",http://tunein.com/Syndication/Edit/?stationId=86936
Mali,"Radio la Bonne Nouvelle

      French","Bamako, Mali",http://tunein.com/Syndication/Edit/?stationId=254008
Mayotte,"Mayotte Web Radio

      Première radio 100% Mahoraise !","Mayotte, Mayotte",http://tunein.com/Syndication/Edit/?stationId=121706
Mauritius,"MBC Kool FM

      New Sound Radio",,mailto:customercare@mbc.intnet.mu
Togo,"Kanal FM

      La Nouvelle Generation",,mailto:kanalfm@cafe.tg
Swaziland,"TWR Voice of the Church

      English","Lavumisa, Swaziland",mailto:info@twrafrica.org
Uganda,"Etop FM 99.4

      English",,mailto:info@sayituganda.com
Senegal,"Zik FM

      Get ready for the waves",,mailto:info@zikfm.net
Reunion,"Velly Music

      # One 974 Hip-Hop Radio Scacion","Trois-Bassins, Les Trois Bassins, Reunion",http://tunein.com/Syndication/Edit/?stationId=6330
Ghana,"Fox FM

      Multilingual",,mailto:info@foxfnonline.com
Comoros,"RCM 13

      French","Moroni, Comoros",mailto:info@rcm13.fr
Egypt,"Nile FM

      Cairo’s Number 1 Hit Music Station","Cairo, Egypt",mailto:contactnrp@nileradioproductions.net
Zambia,"Flava FM

      The Heart & Soul of the Copperbelt","Kitwe, Zambia",mailto:admin@flavafm.co.zm
Zambia,"Radio Yangeni

      English",,http://tunein.com/Syndication/Edit/?stationId=110044
Tunisia,"Mosaique FM

      French",,mailto:commercial.citycenter@topnet.tn
Reunion,"RSL Radio

      The Sun Station!",,http://tunein.com/Syndication/Edit/?stationId=6360
Namibia,"Radio Cosmos Namibia

      English","Klein Windhoek, Namibia",mailto:info@kosmos.com.na
Eritrea,"Eritrea FM Channel 3

      English",,http://tunein.com/Syndication/Edit/?stationId=103396
Burkina Faso,"Ouaga FM

      La radio de toutes les générations","Ouagadougou, Burkina Faso",mailto:radio.ouaga@yahoo.fr
Libya,"LibyanaHITS FM

      Get Heard !!!",,mailto:info@libyanahits.fm
Tanzania,"Choice FM

      The Better Music Mix","Dar Es Salaam, Tanzania",mailto:production@choicefm.co
Lesotho,"BBC World Service Maseru

      BBC World Service is the...","Maseru, Lesotho",mailto:bbcwsafrica@bbc.co.uk
Nigeria,"Cool FM 96.9 Lagos

      Your #1 Hit Music Station","Lagos, Nigeria",mailto:rcahilig@coollink.us
Reunion,"RJL Radio

      La Radio Soleil Dans Le Sud","Saint-Louis, Reunion",http://tunein.com/Syndication/Edit/?stationId=198382
Rwanda,"Flash FM Rwanda

      The Best Mix Of Music","Kigali, Rwanda",mailto:info@flashfm.rw
Ghana,"Luv FM

      Experience The Luv",,mailto:franklinbrobby@yahoo.co.uk
Uganda,"104.9 Ssuubi FM Kampala

      Less Talk More Music",,mailto:abmasembe.md@ssuubifmradio.com
DR Congo,"RFI 1 Afrique

      French",,http://tunein.com/Syndication/Edit/?stationId=6244
Morocco,"Aswat

      le plaisir de vivre ensemble",,http://tunein.com/Syndication/Edit/?stationId=105660
Zimbabwe,"Spot FM ZBC

      Shona",,http://tunein.com/Syndication/Edit/?stationId=6450
St. Helena,"SAMS R1

      English","Jamestown, St. Helena",mailto:news@shbc.sh
Libya,"LJB Jamahiriya Radio

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=16146
Uganda,"Capital FM

      English","Kampala, Uganda",mailto:technical@capitalfm-ug.com
Seychelles,"Seychelles Lounge Radio

      Your Daily Ticket to Paradise","Victoria, Seychelles",mailto:contact@fmseychelles.com
Gabon,"RFI 1 Afrique

      French","Port-Gentil, Gabon",http://tunein.com/Syndication/Edit/?stationId=16132
Nigeria,"Liberty Radio Hausa

      Tashar 'Yanci","Kaduna, Nigeria",mailto:libertyradiong@gmail.com
Mozambique,"BBC World Service Maputo

      BBC World Service is the...","Maputo, Mozambique",mailto:bbcwsafrica@bbc.co.uk
Egypt,"Al-Aghani

      Arabic","Cairo, Egypt",mailto:ads@elaghany.com
Reunion,"Radio Arc-en-Ciel

      English",,http://tunein.com/Syndication/Edit/?stationId=6358
South Africa,"SAFM

      South Africa's News and Information Leader",,mailto:tshiradost@safm.co.za
Seychelles,"RFI 1 Afrique

      French","Victoria, Seychelles",http://tunein.com/Syndication/Edit/?stationId=14399
Tanzania,"Choice FM

      The Better Music Mix",,mailto:production@choicefm.co
Mali,"Rabwah FM

      French",,http://tunein.com/Syndication/Edit/?stationId=203424
Somalia,"Horn Afrik FM

      Warbaahinta Qarniga Cusub",,http://tunein.com/Syndication/Edit/?stationId=47629
Togo,"Kanal FM

      La Nouvelle Generation","Lomé, Togo",mailto:kanalfm@cafe.tg
Reunion,"Radio Pikan

      French","Le Port, Reunion",mailto:secretariat@kanal-renionite.org
Reunion,"Radio Arc-en-Ciel

      English","Saint-Leu, Saint-Leu, Reunion",http://tunein.com/Syndication/Edit/?stationId=6358
Angola,"RNA R Lunda Norte

      Portuguese","Dundo, Angola",http://tunein.com/Syndication/Edit/?stationId=251456
Mali,"Radio DOUNIA

      French","Sikasso, Mali",http://tunein.com/Syndication/Edit/?stationId=189023
Madagascar,"RFI 1 Afrique / local 2h

      French","Toamasina, Madagascar",http://tunein.com/Syndication/Edit/?stationId=6268
Mozambique,"BBC World Service Maputo

      BBC World Service is the...",,mailto:bbcwsafrica@bbc.co.uk
Ghana,"Adom FM

      The Best Radio Station In Ghana",,mailto:teamwork@myjoyonline.com
Reunion,"Radio Vie Reunion

      La Radio qui respire","Saint-Denis, Reunion",mailto:radiovie@orange.fr
Algeria,"Radio Adrar

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=16044
Mali,"Radio Canal 2000

      French",,mailto:canal2000@spider.toolnet.org
Zambia,"Radio Phoenix

      English",,mailto:rphoenix@zamnet.zm
Tanzania,"Pride FM

      Inapasua mawimbi","Mtwara, Tanzania",mailto:info@878pridefm.com
Angola,"RNA R Esterio

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=1696
Senegal,"Radio Alfayda

      French",,mailto:info@radioalfayda.net
Tunisia,"Radio Monastir

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=129106
Tunisia,"MFM Tunisie

      Arabic",,mailto:contact@radiomfm.tn
Nigeria,"Brila FM

      Africa's Premier Sports Station....with us you score!!!","Lagos, Nigeria",mailto:info@brila.net
Zambia,"Hot FM

      THE HEAT IS ON !!",,mailto:info@hot877.com
Mauritius,"Radio Plus FM

      Ecoute ou pou tende",,mailto:venen@radioplus.mu
Kenya,"Homeboyz Radio

      Tomorrows Hits...Today!","Nairobi, Kenya",mailto:info@homeboyzradio.co.ke
DR Congo,"Radio Ngoma

      French","Fizi, DR Congo",mailto:admin@rnafizi.net
Egypt,"Alrahma TV

      Arabic","Cairo, Egypt",http://tunein.com/Syndication/Edit/?stationId=125432
Senegal,"RTS 4 Casamance

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=238789
Sierra Leone,"BBC World Service Freetown

      BBC World Service is the...",,mailto:bbcwsafrica@bbc.co.uk
Rwanda,"BBC World Service Kigali

      BBC World Service is the...","Kigali, Rwanda",mailto:bbcwsafrica@bbc.co.uk
Cameroon,"TBC Radio

      French","Yaoundé, Cameroon",http://tunein.com/Syndication/Edit/?stationId=105833
Reunion,"NRJ Réunion

      Hit Music Only","Saint-Denis, Reunion",http://tunein.com/Syndication/Edit/?stationId=6355
Angola,"Radio N'Gola Yetu RNA

      Multilingual","Luanda, Angola",http://tunein.com/Syndication/Edit/?stationId=6231
Djibouti,"BBC World Service Djibouti

      BBC World Service is the...","Djibouti, Djibouti",mailto:worldservice@bbc.co.uk
South Africa,"Bok Radio

      Die Beter Alternatief",,mailto:info@bokradio.co.za
Malawi,"Radio Christian Voice Zambia

      English",,http://tunein.com/Syndication/Edit/?stationId=151568
Reunion,"Reunion 1ere

      Réseau Outre-Mer 1ère","Saint-Denis, Saint-Denis, Reunion",http://tunein.com/Syndication/Edit/?stationId=6346
Sierra Leone,"Radio Democracy

      The True Voice Of The People",,mailto: info@radiodemocracy.sl
Namibia,"Radio Ecclesia

      English",,http://tunein.com/Syndication/Edit/?stationId=119494
Uganda,"Arua One FM

      Sema Yota","Arua, Uganda",mailto:tam978@gmail.com
Mauritania,"SaharaMedia FM

      Arabic",,mailto:saharamedias@gmail.com
Ghana,"Hot FM

      English","Accra, Ghana",mailto:pagegroupmedia@gmail.com
Lesotho,"Khotso FM

      English",,http://tunein.com/Syndication/Edit/?stationId=142262
Algeria,"Radio Saoura Bechar

      Arabic","Bechar, Regionale du Sud-Ouest, Algeria",http://tunein.com/Syndication/Edit/?stationId=16046
Rwanda,"102.3 KISS FM

      Kigali's Number 1 Hit Music Station!","Kigali, Rwanda",mailto:info@kissfm.rw
Sudan,"Khartoum FM

      The First Sudanese Economic Radio","Khartoum, Sudan",mailto:admin@kfm89.net
Mauritius,"Rock Mauritius Radio

      Rock Mauritius Radio is...","Bel Ombre, Mauritius",mailto:contact@rockmauritius.tk
Kenya,"1 fm

      Local and Urban Hits",,mailto:ericit@1fm.co.ke
South Africa,"Metro FM

      Since 1986, METRO FM has...","Bloemfontein, South Africa",http://tunein.com/Syndication/Edit/?stationId=6363
Ghana,"Asempa 94.7FM

      All Talk All Day!",,http://tunein.com/Syndication/Edit/?stationId=89189
Sudan,"Miraya FM

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=66885
Namibia,"NBC Oshiwambo

      English",,http://tunein.com/Syndication/Edit/?stationId=119491
Central African Republic,"BBC World Service Bangui

      BBC World Service is the...",,mailto:bbcwsafrica@bbc.co.uk
Uganda,"Arua One FM

      Sema Yota",,mailto:tam978@gmail.com
Tanzania,"Qiblaten FM

      Sauti ya Hekima",,mailto:info@dhinureyn.com
Togo,"Radio JVA

      Jésus vous aime",,mailto:radiojva@yahoo.fr
Botswana,"Gabz FM

      Today's Hits Yesterday's Classics",,mailto:mail@gabzfm.com
Sudan,"BBC World Service Wad Madani

      BBC World Service is the...","Wad Madani, Sudan",mailto:worldservice@bbc.co.uk
Kenya,"Jesus is Lord Radio

      The one and only endtime Radio preparing the way for the Messiah","Nakuru, Kenya",mailto:jesusislord.fmradio@gmail.com
Senegal,"Sama Radio Senegal

      La radio Senegalaise","Dakar, Senegal",mailto:bestmoha1@gmail.com
Reunion,"Radio 102 FM

      cocadillaz.com - house music prod.","Saint-Pierre, Reunion",mailto:info@cocadillaz.com
Burkina Faso,"BBC World Service Ouagadougou

      BBC World Service is the...","Ouagadougou, Ouagadougou, Burkina Faso",mailto:worldservice@bbc.co.uk
Mali,"Radio Voix des Jeunes

      French",,http://tunein.com/Syndication/Edit/?stationId=202442
Burkina Faso,"BBC World Service Ouagadougou

      BBC World Service is the...",,mailto:worldservice@bbc.co.uk
Libya,"Al Madina TV

      Arabic","Tripolis, Libyan Arab Jamahiriya",http://tunein.com/Syndication/Edit/?stationId=111214
